name,n_keypoints,type,category,average_correlation_per_keypoint,MMD-EMD,MMD-CD
resilient-terrain-9742,8,ours,03790512,0.7549020051956177,2.079714431602042e-05,0.007520917737470547
genial-dream-9741,8,dpm,03797390,,6.561107147717848e-05,0.36924545217716304
ethereal-bird-9740,8,dpm,04225987,,6.0559232224477455e-05,0.06352387119697143
true-smoke-9739,8,ours,03790512,0.8308823704719543,1.9227314624004063e-05,0.005915389363571384
silvery-water-9738,8,dpm,03797390,,7.164506678236648e-05,0.3546162791939941
chocolate-valley-9737,8,dpm,04225987,,3.239910438423976e-05,0.030633672941264255
cosmic-paper-9736,8,ours,03790512,0.7450981140136719,1.7844344256445765e-05,0.005662737258849144
pretty-salad-9735,8,dpm,03797390,,6.216495967237279e-05,0.14088093393662388
effortless-snowflake-9734,8,dpm,04225987,,5.553089067689143e-05,0.15815845538925985
ruby-moon-9733,8,ours,03790512,0.8161765336990356,1.7761947674443945e-05,0.006297582415936745
dutiful-pyramid-9732,8,ours,03001627,0.6532608866691589,1.309128310822416e-05,0.008722911904066932
smooth-shadow-9731,8,dpm,03797390,,6.435328396037221e-05,0.3573777211158783
visionary-pond-9730,8,dpm,03001627,,5.455902646644972e-05,0.14137293498954268
happy-plasma-9729,8,dpm,04225987,,5.0562055548653007e-05,0.17505726810276245
skilled-darkness-9728,8,ours,03790512,0.7450980544090271,1.5591887859045528e-05,0.004972918988867418
volcanic-butterfly-9727,8,dpm,03797390,,6.483753531938419e-05,0.3258999221474875
scarlet-bird-9726,8,dpm,04225987,,4.418806202011183e-05,0.07798452134423918
fast-field-9725,8,dpm,04225987,,3.5121738619636744e-05,0.04093187965212034
zany-field-9724,8,ours,03790512,0.7916666865348816,1.5607009117957205e-05,0.004883588413359642
glorious-flower-9723,8,dpm,03797390,,0.00011019215162377805,0.510881336494626
lively-paper-9722,8,dpm,04225987,,5.4309482948156074e-05,0.062279726261040246
revived-monkey-9721,8,ours,03790512,0.7696078419685364,1.505628097220324e-05,0.006991771538004858
hearty-glade-9720,8,dpm,04225987,,4.716106195701286e-05,0.10971088367477978
eager-valley-9719,8,dpm,03797390,,9.77831077761948e-05,0.39053090520663625
lively-shape-9718,8,ours,03790512,0.7769607901573181,1.3520948414225131e-05,0.005013519643307102
bright-resonance-9717,8,dpm,04225987,,3.339788963785395e-05,0.02153064648228741
fluent-sponge-9716,8,dpm,03797390,,5.834928379044868e-05,0.175058050460564
desert-glitter-9715,8,ours,03790512,0.7377451062202454,1.2213723493914586e-05,0.00438698119096169
brisk-haze-9714,8,ours,03001627,0.6601449251174927,1.2904619325126989e-05,0.00888751454040088
lucky-totem-9713,8,dpm,04225987,,4.615011130226776e-05,0.026382528379952214
autumn-blaze-9712,8,dpm,03797390,,6.63423488731496e-05,0.3372033412050408
eternal-spaceship-9711,8,ours,03790512,0.7720588445663452,1.1834988981718196e-05,0.0044052585315841565
lucky-morning-9710,8,dpm,04225987,,3.9189355447888374e-05,0.06012494137166846
astral-snowflake-9709,8,dpm,03797390,,9.043876343639567e-05,0.3844080401907033
olive-energy-9708,8,ours,03790512,0.7941176891326904,1.171832082036417e-05,0.004835536230544599
golden-flower-9707,8,dpm,04225987,,3.4964588849106804e-05,0.0506281790548828
radiant-planet-9706,8,dpm,03797390,,5.321732896845788e-05,0.20964397779008595
wobbly-grass-9705,8,dpm,04225987,,5.540602433029562e-05,0.18182729506933917
giddy-sound-9704,8,ours,03790512,0.7524510025978088,1.1062900739489123e-05,0.004547754622225134
youthful-bee-9703,8,dpm,03797390,,7.399325113510713e-05,0.22770202944769352
giddy-dragon-9702,8,dpm,04225987,,4.125610939809121e-05,0.02439873933908433
peach-blaze-9701,8,ours,03790512,0.7647058963775635,1.0897609172388911e-05,0.004121932865298361
faithful-glade-9700,8,dpm,03797390,,6.610935815842822e-05,0.2823790208777154
logical-surf-9699,8,ours,03790512,0.7941176891326904,1.1345173334120773e-05,0.004113675369679662
glowing-rain-9698,8,dpm,04225987,,3.905215271515772e-05,0.02746037409037226
bumbling-capybara-9697,8,dpm,03797390,,5.220179446041584e-05,0.17197591696094355
quiet-dust-9696,8,dpm,04225987,,4.399009412736632e-05,0.11574603637201876
jumping-bush-9695,8,ours,03001627,0.6211956739425659,1.2827737918996718e-05,0.009923757304591036
azure-mountain-9694,8,dpm,03001627,,5.0660004490055144e-05,0.09712004540171598
twilight-jazz-9693,8,ours,03790512,0.7524510622024536,1.073041494237259e-05,0.0033452838547514594
pleasant-water-9692,8,dpm,04379243,,5.465168214868754e-05,0.200025147796791
driven-monkey-9691,8,dpm,04225987,,4.279371569282375e-05,0.09043673224939368
pretty-bush-9690,8,dpm,03797390,,7.652219210285693e-05,0.308797546531756
deft-darkness-9689,8,ours,03790512,0.7647058963775635,1.0491557077330071e-05,0.0034518237235314315
magic-dew-9688,8,dpm,04225987,,3.194354212610051e-05,0.021226714987241865
fanciful-firefly-9687,8,dpm,03797390,,6.724806007696316e-05,0.2767002437574622
eager-lion-9686,8,ours,03790512,0.7843137383460999,1.0728679626481608e-05,0.0030959526895678493
stellar-galaxy-9685,8,dpm,04225987,,3.654535612440668e-05,0.03734883474831125
hopeful-sponge-9684,8,dpm,03797390,,5.9803802287206054e-05,0.2393328597199584
azure-music-9683,8,ours,03790512,0.7671568393707275,1.1146175893372856e-05,0.003957246193514146
eternal-gorge-9682,8,dpm,04225987,,4.0115672163665295e-05,0.10151176745988012
dulcet-donkey-9681,8,dpm,03797390,,4.892955985269509e-05,0.11575282918860444
young-shadow-9680,8,ours,03790512,0.7892157435417175,1.2047225936839824e-05,0.00464241470079373
ethereal-firebrand-9679,8,dpm,04225987,,4.88492296426557e-05,0.052033474889551984
glowing-silence-9678,8,dpm,03797390,,9.82144774752669e-05,0.2965651435871092
pious-salad-9677,8,dpm,04225987,,3.918501897715032e-05,0.036780932450947046
swift-violet-9676,8,ours,03790512,0.7867647409439087,1.1591968359425664e-05,0.003911813093124022
sunny-sea-9675,8,ours,03001627,0.6592391729354858,1.2676373444264756e-05,0.008766778940168878
celestial-sea-9674,8,dpm,03797390,,6.829640187788755e-05,0.22771842724308608
